Date,Year,Month,Product_ID,Product_Name,Category,Store_ID,City,Units_Sold,Sales,Revenue,Discount,Promotion,Stock_Level,Profit
2020-05-29,2020,May,P103,Headphones,Accessories,S02,Madurai,8,8,20400,15,Yes,13,6038
2024-10-16,2024,October,P105,Camera,Electronics,S03,Coimbatore,17,17,361250,15,Yes,78,81928
2023-06-30,2023,June,P105,Camera,Electronics,S04,Bangalore,9,9,191250,15,No,18,21144
2020-01-18,2020,January,P102,Laptop,Electronics,S02,Madurai,9,9,405000,10,Yes,29,48322
2025-02-15,2025,February,P104,Smartwatch,Electronics,S03,Coimbatore,9,9,85500,5,Yes,99,22130
2022-02-15,2022,February,P102,Laptop,Electronics,S02,Madurai,11,11,550000,0,No,30,71737
2024-06-22,2024,June,P103,Headphones,Accessories,S05,Hyderabad,2,2,5400,10,No,29,1517
2021-11-02,2021,November,P102,Laptop,Electronics,S03,Coimbatore,13,13,552500,15,No,24,131089
2021-06-08,2021,June,P104,Smartwatch,Electronics,S05,Hyderabad,4,4,38000,5,No,39,10226
2023-06-22,2023,June,P105,Camera,Electronics,S02,Madurai,4,4,85000,15,No,34,24035
2024-04-29,2024,April,P102,Laptop,Electronics,S03,Coimbatore,8,8,400000,0,Yes,26,55542
2025-07-18,2025,July,P104,Smartwatch,Electronics,S04,Bangalore,11,11,99000,10,No,73,25262
2019-06-07,2019,June,P101,Mobile,Electronics,S04,Bangalore,4,4,60000,0,Yes,63,15309
2024-08-09,2024,August,P102,Laptop,Electronics,S05,Hyderabad,7,7,350000,0,Yes,54,47733
2020-05-29,2020,May,P102,Laptop,Electronics,S05,Hyderabad,17,17,765000,10,No,15,119080
2022-03-05,2022,March,P102,Laptop,Electronics,S03,Coimbatore,18,18,720000,20,No,10,92008
2023-11-02,2023,November,P101,Mobile,Electronics,S01,Chennai,19,19,285000,0,No,23,30755
2020-08-22,2020,August,P103,Headphones,Accessories,S05,Hyderabad,2,2,5700,5,Yes,12,1195
2021-12-06,2021,December,P101,Mobile,Electronics,S04,Bangalore,3,3,38250,15,No,68,6482
2020-09-02,2020,September,P101,Mobile,Electronics,S02,Madurai,3,3,38250,15,No,24,10453
2025-02-07,2025,February,P102,Laptop,Electronics,S01,Chennai,9,9,382500,15,No,93,56219
2024-12-02,2024,December,P104,Smartwatch,Electronics,S05,Hyderabad,1,1,8500,15,No,93,1618
2022-05-29,2022,May,P103,Headphones,Accessories,S05,Hyderabad,2,2,5100,15,No,98,943
2020-07-15,2020,July,P101,Mobile,Electronics,S01,Chennai,8,8,120000,0,No,39,30278
2024-02-10,2024,February,P103,Headphones,Accessories,S02,Madurai,19,19,54150,5,No,25,12729
2019-02-04,2019,February,P101,Mobile,Electronics,S03,Coimbatore,9,9,121500,10,No,94,12163
2023-12-30,2023,December,P103,Headphones,Accessories,S05,Hyderabad,3,3,8550,5,Yes,41,1570
2022-04-05,2022,April,P103,Headphones,Accessories,S04,Bangalore,17,17,48450,5,Yes,24,8175
2019-02-05,2019,February,P103,Headphones,Accessories,S04,Bangalore,3,3,9000,0,Yes,24,2535
2020-12-13,2020,December,P104,Smartwatch,Electronics,S04,Bangalore,1,1,8500,15,No,35,1611
2024-07-16,2024,July,P104,Smartwatch,Electronics,S04,Bangalore,5,5,45000,10,Yes,24,7803
2025-03-06,2025,March,P104,Smartwatch,Electronics,S03,Coimbatore,12,12,102000,15,No,99,16005
2021-08-04,2021,August,P101,Mobile,Electronics,S01,Chennai,8,8,120000,0,Yes,50,13654
2022-05-27,2022,May,P105,Camera,Electronics,S04,Bangalore,5,5,125000,0,No,66,19401
2019-08-27,2019,August,P103,Headphones,Accessories,S04,Bangalore,19,19,48450,15,Yes,65,9246
2024-02-25,2024,February,P104,Smartwatch,Electronics,S04,Bangalore,16,16,160000,0,Yes,82,34385
2024-12-07,2024,December,P104,Smartwatch,Electronics,S04,Bangalore,27,27,243000,10,No,18,69112
2021-12-16,2021,December,P101,Mobile,Electronics,S01,Chennai,24,24,288000,20,No,18,69153
2020-06-16,2020,June,P103,Headphones,Accessories,S02,Madurai,9,9,21600,20,Yes,64,3829
2022-09-10,2022,September,P104,Smartwatch,Electronics,S02,Madurai,2,2,19000,5,Yes,43,3947
2019-10-01,2019,October,P101,Mobile,Electronics,S05,Hyderabad,14,14,178500,15,Yes,54,35342
2025-12-29,2025,December,P103,Headphones,Accessories,S04,Bangalore,1,1,2550,15,No,11,636
2019-05-20,2019,May,P101,Mobile,Electronics,S01,Chennai,17,17,255000,0,Yes,47,67250
2025-11-09,2025,November,P101,Mobile,Electronics,S05,Hyderabad,24,24,288000,20,Yes,91,37884
2024-06-14,2024,June,P101,Mobile,Electronics,S01,Chennai,7,7,84000,20,No,59,15917
2025-10-29,2025,October,P102,Laptop,Electronics,S01,Chennai,16,16,640000,20,No,50,181756
2023-09-09,2023,September,P102,Laptop,Electronics,S01,Chennai,9,9,382500,15,No,89,105873
2023-03-07,2023,March,P103,Headphones,Accessories,S03,Coimbatore,3,3,7200,20,No,89,1934
2022-01-05,2022,January,P104,Smartwatch,Electronics,S03,Coimbatore,9,9,90000,0,Yes,67,9336
2025-03-22,2025,March,P104,Smartwatch,Electronics,S01,Chennai,5,5,47500,5,No,92,6035
2019-12-20,2019,December,P104,Smartwatch,Electronics,S05,Hyderabad,18,18,180000,0,No,29,39442
2019-07-31,2019,July,P103,Headphones,Accessories,S04,Bangalore,15,15,40500,10,Yes,33,9727
2020-03-27,2020,March,P103,Headphones,Accessories,S02,Madurai,19,19,54150,5,No,26,8674
2020-06-23,2020,June,P105,Camera,Electronics,S05,Hyderabad,6,6,127500,15,No,55,13516
2021-08-01,2021,August,P102,Laptop,Electronics,S03,Coimbatore,10,10,425000,15,No,58,119079
2019-08-11,2019,August,P105,Camera,Electronics,S04,Bangalore,6,6,135000,10,No,96,34066
2024-10-12,2024,October,P102,Laptop,Electronics,S03,Coimbatore,18,18,900000,0,Yes,25,161200
2021-02-02,2021,February,P104,Smartwatch,Electronics,S02,Madurai,14,14,133000,5,Yes,46,29956
2019-04-22,2019,April,P103,Headphones,Accessories,S03,Coimbatore,2,2,5700,5,No,75,753
2021-05-11,2021,May,P104,Smartwatch,Electronics,S02,Madurai,10,10,85000,15,Yes,37,19214
2019-06-22,2019,June,P103,Headphones,Accessories,S05,Hyderabad,10,10,28500,5,No,24,2874
2022-11-28,2022,November,P102,Laptop,Electronics,S04,Bangalore,7,7,315000,10,Yes,68,71325
2022-05-11,2022,May,P104,Smartwatch,Electronics,S01,Chennai,17,17,144500,15,Yes,35,37915
2020-03-04,2020,March,P104,Smartwatch,Electronics,S03,Coimbatore,12,12,102000,15,Yes,10,28497
2021-11-20,2021,November,P102,Laptop,Electronics,S01,Chennai,9,9,360000,20,No,82,78047
2021-03-24,2021,March,P105,Camera,Electronics,S01,Chennai,6,6,142500,5,No,29,42651
2020-11-03,2020,November,P101,Mobile,Electronics,S02,Madurai,15,15,213750,5,No,35,42925
2019-01-28,2019,January,P103,Headphones,Accessories,S03,Coimbatore,6,6,16200,10,No,39,3810
2025-07-02,2025,July,P103,Headphones,Accessories,S03,Coimbatore,5,5,14250,5,Yes,48,1754
2022-01-16,2022,January,P102,Laptop,Electronics,S05,Hyderabad,2,2,85000,15,Yes,21,10440
2024-04-10,2024,April,P104,Smartwatch,Electronics,S02,Madurai,5,5,42500,15,Yes,70,9011
2020-03-15,2020,March,P103,Headphones,Accessories,S01,Chennai,15,15,38250,15,No,29,4064
2019-01-11,2019,January,P102,Laptop,Electronics,S01,Chennai,9,9,382500,15,No,50,71226
2022-08-01,2022,August,P101,Mobile,Electronics,S02,Madurai,13,13,165750,15,No,25,20459
2024-01-10,2024,January,P101,Mobile,Electronics,S04,Bangalore,9,9,128250,5,No,62,13142
2022-11-19,2022,November,P103,Headphones,Accessories,S01,Chennai,15,15,45000,0,Yes,11,4969
2019-06-27,2019,June,P104,Smartwatch,Electronics,S05,Hyderabad,17,17,170000,0,No,48,48635
2023-04-21,2023,April,P104,Smartwatch,Electronics,S04,Bangalore,8,8,68000,15,No,80,14479
2023-12-28,2023,December,P104,Smartwatch,Electronics,S02,Madurai,28,28,238000,15,No,10,39598
2025-04-07,2025,April,P104,Smartwatch,Electronics,S03,Coimbatore,15,15,120000,20,No,99,27891
2019-05-06,2019,May,P103,Headphones,Accessories,S01,Chennai,1,1,2850,5,Yes,66,387
2022-03-22,2022,March,P103,Headphones,Accessories,S04,Bangalore,11,11,31350,5,Yes,55,5911
2020-01-13,2020,January,P103,Headphones,Accessories,S01,Chennai,13,13,31200,20,Yes,16,5115
2025-12-25,2025,December,P104,Smartwatch,Electronics,S04,Bangalore,1,1,9500,5,Yes,69,2055
2021-05-01,2021,May,P105,Camera,Electronics,S02,Madurai,13,13,260000,20,No,94,38753
2025-07-23,2025,July,P104,Smartwatch,Electronics,S03,Coimbatore,8,8,68000,15,No,57,14924
2024-09-25,2024,September,P105,Camera,Electronics,S05,Hyderabad,4,4,100000,0,No,31,19227
2024-11-24,2024,November,P103,Headphones,Accessories,S04,Bangalore,21,21,59850,5,No,89,14383
2021-07-05,2021,July,P105,Camera,Electronics,S05,Hyderabad,10,10,237500,5,No,63,52013
2019-09-25,2019,September,P105,Camera,Electronics,S02,Madurai,8,8,200000,0,Yes,84,41195
2025-01-28,2025,January,P105,Camera,Electronics,S05,Hyderabad,1,1,25000,0,No,81,5633
2024-12-17,2024,December,P105,Camera,Electronics,S01,Chennai,25,25,593750,5,No,99,171424
2024-01-04,2024,January,P102,Laptop,Electronics,S01,Chennai,17,17,722500,15,No,10,135878
2022-03-18,2022,March,P102,Laptop,Electronics,S02,Madurai,15,15,637500,15,Yes,30,81343
2023-12-06,2023,December,P104,Smartwatch,Electronics,S02,Madurai,16,16,144000,10,No,68,23493
2023-02-08,2023,February,P103,Headphones,Accessories,S02,Madurai,16,16,43200,10,No,78,5658
2021-05-04,2021,May,P103,Headphones,Accessories,S04,Bangalore,17,17,48450,5,No,47,11110
2022-07-24,2022,July,P104,Smartwatch,Electronics,S01,Chennai,17,17,170000,0,No,70,28069
2025-09-16,2025,September,P103,Headphones,Accessories,S01,Chennai,1,1,2550,15,No,34,625
2019-10-17,2019,October,P104,Smartwatch,Electronics,S02,Madurai,10,10,100000,0,Yes,92,14494
2020-11-03,2020,November,P105,Camera,Electronics,S02,Madurai,27,27,641250,5,Yes,99,95309
